token,cos_male,cos_female,cos_diff,abs_diff
dd0eb90e-e3af-4e34-8042-32f13d10c870,0.9344002,0.39527074,0.5391295,0.5391295
ed6270e3-f01c-4665-90fb-f3d485d67614,0.94254625,0.40436223,0.53818405,0.53818405
22a0a56f-887b-4b72-9090-c2401f811112,0.9442447,0.4069191,0.5373256,0.5373256
770445ce-966c-4b40-9ebb-2fb29de945ee,0.947129,0.41103423,0.5360948,0.5360948
dc0c2a80-0c2a-47bc-9f1b-d1d502c13469,0.94581467,0.41138953,0.53442514,0.53442514
503a0202-4379-4531-ad75-e17159fe2024,0.934268,0.40041342,0.5338546,0.5338546
e070d5a6-f17c-42f8-ba32-1500aac306ab,0.9447807,0.41123754,0.53354317,0.53354317
e544da05-6030-4d8f-a705-a5ed39aca371,0.9400814,0.4066354,0.533446,0.533446
1558bb6e-f434-4d94-873a-adf840f357f9,0.93600917,0.4027167,0.5332925,0.5332925
2cf2b296-1d83-41a4-9cd8-e53193033fb8,0.948439,0.41683543,0.5316036,0.5316036
5cc9716e-7e4e-49b4-b3cf-11e1a84d5f1c,0.94423085,0.41321614,0.5310147,0.5310147
0990b870-9080-4a6c-b4e2-402e202caf1a,0.9431379,0.4140455,0.5290924,0.5290924
92f1ed84-d752-493e-9961-fec121179379,0.9470497,0.4188294,0.5282203,0.5282203
f7b86aa6-3c51-41da-99fd-1c3f9bb68222,0.9469454,0.41900128,0.52794415,0.52794415
c3867469-3a3e-42c0-9723-ab466f4e76bb,0.9430784,0.41546252,0.5276159,0.5276159
c43b6287-9c73-4a59-95f3-980b33b06b00,0.9392819,0.41196373,0.5273181,0.5273181
01ef381f-d4f8-4f7f-970b-39b6ce7abbea,0.9438174,0.41665933,0.527158,0.527158
e0c90328-a5af-460a-87f1-bd2f4876b693,0.94778824,0.42105895,0.5267293,0.5267293
edc1a4a7-9f39-4501-bf82-fd71cd753bf7,0.94990015,0.4232446,0.52665555,0.52665555
09f22ec4-6d71-41d8-8781-b64b5c3b8d2a,0.9427785,0.4165123,0.5262662,0.5262662
38c2a0d5-5807-4c99-bfa2-92fcd1960003,0.9354282,0.4092635,0.5261647,0.5261647
7ac5f521-91dc-442c-a569-a32c00f5e6ca,0.939999,0.41457826,0.5254207,0.5254207
1a50bc25-25aa-4fe6-8919-9bc852f28540,0.93972766,0.41440663,0.525321,0.525321
e9195529-1de9-4978-b1e8-2c374c3684d9,0.94540966,0.42050698,0.5249027,0.5249027
546a9f77-072e-47aa-854f-0043c9c8ff6d,0.94502485,0.42025673,0.5247681,0.5247681
6a72cb9e-3853-4427-9825-29fc8cd337e4,0.943786,0.4195071,0.52427894,0.52427894
5d71d35f-4959-4b76-bc1a-58a0944898d3,0.9443107,0.42021692,0.5240938,0.5240938
dab10734-f1f6-44ca-85ed-aa513255755d,0.9441558,0.42095882,0.523197,0.523197
95a7c766-7ce9-42b5-8b85-3bff0e34d149,0.94568056,0.42257077,0.5231098,0.5231098
2f76984d-e611-4424-9399-46b31916a3a6,0.9406563,0.41758406,0.52307224,0.52307224
